Chromosome Name	Gene Start (bp)	Gene End (bp)	Ensembl Gene ID	Turkey Chromosome Name	Chicken Equiv Chromosome	Turkey Chromosome Start (bp)	Turkey Chromosome End (bp)	Turkey Ensembl Gene ID	% Identity with respect to Turkey gene	divergence
24	5685637	5685710	ENSGALG00000018306	26	24	5876073	5876152	ENSMGAG00000000163	85	0.15
2	148337263	148337326	ENSGALG00000018290	3	2	93750120	93750190	ENSMGAG00000000134	85	0.15
8	4739550	4739659	ENSGALG00000024498	10	8	6306457	6306573	ENSMGAG00000000408	86	0.14
4	2151176	2151274	ENSGALG00000025526	4	4	31235413	31235519	ENSMGAG00000000537	87	0.13
15	399833	399953	ENSGALG00000021800	17	15	429118	429237	ENSMGAG00000000245	88	0.12
2	45549176	45549259	ENSGALG00000018284	6	2	46491025	46491117	ENSMGAG00000000524	88	0.12
Z	649337	649413	ENSGALG00000018340	Z	Z	737453	737537	ENSMGAG00000000365	89	0.11
Z	16040763	16040856	ENSGALG00000025221	Z	Z	17944307	17944400	ENSMGAG00000000384	90	0.1
23	2510331	2510423	ENSGALG00000021935	25	23	1933302	1933394	ENSMGAG00000000504	90	0.1
Z	16040613	16040698	ENSGALG00000021770	Z	Z	17944160	17944245	ENSMGAG00000000500	95	0.05
19	7145027	7145120	ENSGALG00000021775	21	19	7511970	7512062	ENSMGAG00000000356	95	0.05
4	3970228	3970311	ENSGALG00000018324	9	4	3514770	3514853	ENSMGAG00000000598	95	0.05
28	4436025	4436119	ENSGALG00000018314	30	28	4278294	4278388	ENSMGAG00000000571	96	0.04
9	23742791	23742884	ENSGALG00000018337	11	9	22360666	22360757	ENSMGAG00000000169	96	0.04
3	32679710	32679821	ENSGALG00000021802	2	3	31920594	31920707	ENSMGAG00000000150	96	0.04
Z	41157642	41157738	ENSGALG00000018354	Z	Z	44243809	44243905	ENSMGAG00000000572	97	0.03
23	4664051	4664129	ENSGALG00000018300	25	23	4200953	4201031	ENSMGAG00000000332	97	0.03
13	8034158	8034273	ENSGALG00000021908	15	13	7834385	7834500	ENSMGAG00000000599	97	0.03
12	6301452	6301554	ENSGALG00000018264	14	12	6257885	6257987	ENSMGAG00000000079	97	0.03
3	288214	288302	ENSGALG00000021792	2	3	2198875	2198962	ENSMGAG00000000439	97	0.03
26	2896047	2896142	ENSGALG00000018312	28	26	3068403	3068498	ENSMGAG00000000351	98	0.02
24	5684900	5684983	ENSGALG00000018305	26	24	5875307	5875390	ENSMGAG00000000456	98	0.02
21	2585642	2585726	ENSGALG00000018295	23	21	2667706	2667790	ENSMGAG00000000166	98	0.02
19	5352096	5352195	ENSGALG00000024507	21	19	5780093	5780192	ENSMGAG00000000438	98	0.02
17	10220137	10220221	ENSGALG00000018274	19	17	9537117	9537201	ENSMGAG00000000227	98	0.02
6	24570060	24570164	ENSGALG00000021782	8	6	25386761	25386865	ENSMGAG00000000170	98	0.02
5	53206814	53206911	ENSGALG00000018329	5	5	52792584	52792681	ENSMGAG00000000482	98	0.02
3	280139	280245	ENSGALG00000018316	2	3	2206695	2206801	ENSMGAG00000000250	98	0.02
1	1147520	1147617	ENSGALG00000018270	1	1	1405068	1405165	ENSMGAG00000000029	98	0.02
21	2580812	2580895	ENSGALG00000021778	23	21	2662896	2662979	ENSMGAG00000000099	99	0.01
10	6651274	6651374	ENSGALG00000018257	12	10	5217409	5217480	ENSMGAG00000000055	99	0.01
4	58652214	58652282	ENSGALG00000021776	4	4	39202965	39203033	ENSMGAG00000000380	99	0.01
4	3970047	3970131	ENSGALG00000021725	9	4	3514574	3514658	ENSMGAG00000000154	99	0.01
4	58651879	58651945	ENSGALG00000018326	4	4	39202665	39202731	ENSMGAG00000000578	99	0.01
4	3970359	3970439	ENSGALG00000018325	9	4	3514902	3514982	ENSMGAG00000000187	99	0.01
4	58652350	58652422	ENSGALG00000021736	4	4	39203101	39203173	ENSMGAG00000000237	99	0.01
3	110390439	110390514	ENSGALG00000018322	2	3	113473474	113473549	ENSMGAG00000000046	99	0.01
3	282807	282912	ENSGALG00000018315	2	3	2204042	2204146	ENSMGAG00000000580	99	0.01
2	3583690	3583779	ENSGALG00000021798	6	2	3156906	3156995	ENSMGAG00000000093	99	0.01
2	40745148	40745243	ENSGALG00000018283	6	2	41573760	41573855	ENSMGAG00000000405	99	0.01
1	102424333	102424413	ENSGALG00000018242	1	1	104244508	104244578	ENSMGAG00000000358	99	0.01
Z	41157406	41157491	ENSGALG00000018353	Z	Z	44244057	44244141	ENSMGAG00000000303	100	0
Z	39554766	39554874	ENSGALG00000018352	Z	Z	42464493	42464601	ENSMGAG00000000618	100	0
28	2709362	2709449	ENSGALG00000021722	30	28	2975247	2975334	ENSMGAG00000000518	100	0
27	3553097	3553191	ENSGALG00000018313	29	27	3236343	3236437	ENSMGAG00000000533	100	0
26	1925942	1926037	ENSGALG00000018309	28	26	2079208	2079303	ENSMGAG00000000153	100	0
26	2512569	2512648	ENSGALG00000018311	28	26	2672311	2672390	ENSMGAG00000000547	100	0
26	2511658	2511746	ENSGALG00000018310	28	26	2671409	2671497	ENSMGAG00000000527	100	0
24	3380993	3381064	ENSGALG00000018304	26	24	3538534	3538605	ENSMGAG00000000410	100	0
23	4663912	4663975	ENSGALG00000018299	25	23	4200814	4200877	ENSMGAG00000000141	100	0
21	2583317	2583403	ENSGALG00000018294	23	21	2665389	2665475	ENSMGAG00000000499	100	0
21	3251514	3251622	ENSGALG00000018296	23	21	3390252	3390360	ENSMGAG00000000492	100	0
20	8107831	8107901	ENSGALG00000018292	22	20	8206689	8206759	ENSMGAG00000000083	100	0
20	8119054	8119149	ENSGALG00000018293	22	20	8886858	8886928	ENSMGAG00000000096	100	0
20	2599334	2599424	ENSGALG00000021774	22	20	2207895	2207984	ENSMGAG00000000033	100	0
19	7144739	7144828	ENSGALG00000021724	21	19	7511675	7511764	ENSMGAG00000000373	100	0
19	7322072	7322168	ENSGALG00000021733	21	19	7685613	7685709	ENSMGAG00000000052	100	0
19	496983	497070	ENSGALG00000018344	21	19	511687	511774	ENSMGAG00000000414	100	0
18	6437296	6437391	ENSGALG00000021737	20	18	8647825	8647920	ENSMGAG00000000553	100	0
17	5667150	5667243	ENSGALG00000018277	19	17	5199660	5199753	ENSMGAG00000000371	100	0
17	8431742	8431825	ENSGALG00000018276	19	17	8015533	8015616	ENSMGAG00000000019	100	0
17	10218497	10218587	ENSGALG00000018275	19	17	9535496	9535586	ENSMGAG00000000602	100	0
17	5339701	5339786	ENSGALG00000021728	19	17	4780828	4780913	ENSMGAG00000000388	100	0
15	398720	398796	ENSGALG00000018271	17	15	428171	428247	ENSMGAG00000000048	100	0
15	406313	406405	ENSGALG00000018272	17	15	435144	435236	ENSMGAG00000000218	100	0
15	1296916	1296984	ENSGALG00000025271	17	15	1328156	1328224	ENSMGAG00000000477	100	0
15	408399	408481	ENSGALG00000018273	17	15	436359	436441	ENSMGAG00000000016	100	0
14	764270	764356	ENSGALG00000021731	16	14	741059	741145	ENSMGAG00000000038	100	0
14	759453	759535	ENSGALG00000021729	16	14	737381	737463	ENSMGAG00000000107	100	0
13	4322860	4322954	ENSGALG00000018269	15	13	4055052	4055146	ENSMGAG00000000406	100	0
13	7555593	7555691	ENSGALG00000018267	15	13	7396630	7396727	ENSMGAG00000000607	100	0
12	6302497	6302583	ENSGALG00000018265	14	12	6259110	6259196	ENSMGAG00000000525	100	0
11	2023954	2024036	ENSGALG00000018260	13	11	713952	714034	ENSMGAG00000000124	100	0
11	21030641	21030735	ENSGALG00000018261	13	11	19192461	19192521	ENSMGAG00000000311	100	0
10	12334922	12334991	ENSGALG00000021910	12	10	10548113	10548182	ENSMGAG00000000195	100	0
10	5209724	5209808	ENSGALG00000018256	12	10	3699383	3699467	ENSMGAG00000000133	100	0
9	23742966	23743056	ENSGALG00000018338	11	9	22360838	22360928	ENSMGAG00000000189	100	0
8	29051918	29051993	ENSGALG00000024502	10	8	29450984	29451059	ENSMGAG00000000149	100	0
8	4732773	4732880	ENSGALG00000018335	10	8	6312291	6312398	ENSMGAG00000000147	100	0
8	2001561	2001664	ENSGALG00000021730	10	8	9194074	9194177	ENSMGAG00000000514	100	0
8	2001750	2001838	ENSGALG00000021726	10	8	9193900	9193988	ENSMGAG00000000592	100	0
7	32228150	32228231	ENSGALG00000018332	7	7	32359204	32359285	ENSMGAG00000000202	100	0
6	20487964	20488044	ENSGALG00000018330	8	6	21661981	21662061	ENSMGAG00000000089	100	0
6	22813068	22813156	ENSGALG00000021772	8	6	23690793	23690881	ENSMGAG00000000374	100	0
4	232949	233048	ENSGALG00000018323	9	4	215982	216081	ENSMGAG00000000433	100	0
4	2687396	2687485	ENSGALG00000021786	9	4	2148896	2148985	ENSMGAG00000000015	100	0
4	77774698	77774806	ENSGALG00000018327	4	4	58364819	58364927	ENSMGAG00000000156	100	0
4	58651314	58651385	ENSGALG00000021771	4	4	39202121	39202192	ENSMGAG00000000057	100	0
4	91906889	91906971	ENSGALG00000018328	4	4	72596102	72596184	ENSMGAG00000000213	100	0
4	92169271	92169399	ENSGALG00000024497	4	4	72815469	72815597	ENSMGAG00000000310	100	0
4	58651576	58651640	ENSGALG00000021773	4	4	39202360	39202424	ENSMGAG00000000437	100	0
3	85126853	85126924	ENSGALG00000018320	2	3	86385415	86385486	ENSMGAG00000000346	100	0
3	19924793	19924897	ENSGALG00000018318	2	3	18652881	18652985	ENSMGAG00000000479	100	0
3	19924487	19924561	ENSGALG00000018317	2	3	18652575	18652649	ENSMGAG00000000171	100	0
2	85892470	85892555	ENSGALG00000018285	3	2	32760174	32760259	ENSMGAG00000000475	100	0
2	148331598	148331684	ENSGALG00000018291	3	2	93746646	93746732	ENSMGAG00000000226	100	0
2	4467516	4467592	ENSGALG00000018279	6	2	4049202	4049278	ENSMGAG00000000509	100	0
2	86506451	86506520	ENSGALG00000018286	3	2	33397689	33397758	ENSMGAG00000000559	100	0
2	8765687	8765773	ENSGALG00000021727	6	2	8565069	8565155	ENSMGAG00000000174	100	0
2	105670357	105670443	ENSGALG00000018287	3	2	52003922	52004008	ENSMGAG00000000613	100	0
2	105673483	105673567	ENSGALG00000018288	3	2	52007832	52007916	ENSMGAG00000000573	100	0
1	152248626	152248718	ENSGALG00000018252	1	1	154014686	154014778	ENSMGAG00000000090	100	0
1	114218926	114219024	ENSGALG00000018247	1	1	116538820	116538892	ENSMGAG00000000542	100	0
1	102425081	102425174	ENSGALG00000018243	1	1	104245244	104245337	ENSMGAG00000000288	100	0
1	34895687	34895771	ENSGALG00000018237	1	1	34752634	34752718	ENSMGAG00000000301	100	0
1	102457647	102457736	ENSGALG00000018244	1	1	104277125	104277214	ENSMGAG00000000261	100	0
1	48192653	48192761	ENSGALG00000018238	1	1	47106853	47106961	ENSMGAG00000000383	100	0
1	173700351	173700434	ENSGALG00000018254	1	1	178110761	178110844	ENSMGAG00000000370	100	0
1	114218422	114218519	ENSGALG00000018246	1	1	116538309	116538382	ENSMGAG00000000105	100	0
1	152248183	152248269	ENSGALG00000018249	1	1	154014245	154014331	ENSMGAG00000000352	100	0
1	3236329	3236417	ENSGALG00000018235	1	1	3566312	3566400	ENSMGAG00000000268	100	0
1	173700493	173700575	ENSGALG00000018255	1	1	178110903	178110985	ENSMGAG00000000025	100	0
1	152248070	152248147	ENSGALG00000018248	1	1	154014132	154014209	ENSMGAG00000000521	100	0
1	51372262	51372370	ENSGALG00000018239	1	1	51940788	51940856	ENSMGAG00000000536	100	0
1	73421272	73421347	ENSGALG00000018240	1	1	70955535	70955610	ENSMGAG00000000106	100	0
1	152248306	152248403	ENSGALG00000018250	1	1	154014368	154014465	ENSMGAG00000000422	100	0
1	114216027	114216124	ENSGALG00000018348	1	1	116538309	116538382	ENSMGAG00000000105	100	0
1	105930213	105930275	ENSGALG00000018245	1	1	107983562	107983624	ENSMGAG00000000183	100	0
