Ensembl Gene ID	Turkey Ensembl Gene ID	Turkey Chromosome Name	Turkey Chromosome Start (bp)	Turkey Chromosome End (bp)	% Identity with respect to query gene	Zebra Finch Ensembl Gene ID	Zebra Finch Chromosome Name	Zebra Finch Chromosome Start (bp)	Zebra Finch Chromosome End (bp)	% Identity with respect to query gene	Chromosome Name	Gene Start (bp)	Gene End (bp)
ENSGALG00000025438											1	199256187	199256266
ENSGALG00000025247											4	92921183	92921273
ENSGALG00000025349											5	18252173	18252252
ENSGALG00000025143											6	6428826	6428912
ENSGALG00000025638											1	104451152	104451239
ENSGALG00000018323	ENSMGAG00000000433	9	215982	216081	100	ENSTGUG00000017683	4A	6644921	6645018	92	4	232949	233048
ENSGALG00000025405											Un_random	13277353	13277454
ENSGALG00000025154											7	14764187	14764287
ENSGALG00000025391											4	92991850	92991940
ENSGALG00000025428											4	92718271	92718364
ENSGALG00000025257											6	24237813	24237908
ENSGALG00000025410											1	48126457	48126547
ENSGALG00000018339						ENSTGUG00000017897	Z	32186011	32186104	95	Z	71882171	71882264
ENSGALG00000025258											28	406621	406695
ENSGALG00000025499											25	1568659	1568740
ENSGALG00000025244											7	20421062	20421145
ENSGALG00000025191											2	22663909	22664001
ENSGALG00000025195											2	67501829	67501939
ENSGALG00000025372											15	4729959	4730046
ENSGALG00000025208											5	47604931	47605006
ENSGALG00000018336						ENSTGUG00000017948	8	8780094	8780189	100	8	13210193	13210288
ENSGALG00000025441											1	5735270	5735359
ENSGALG00000025560											1	73752485	73752590
ENSGALG00000018353	ENSMGAG00000000303	Z	44244057	44244141	99	ENSTGUG00000017997	Z	9900641	9900726	95	Z	41157406	41157491
ENSGALG00000021783	ENSMGAG00000000413	GL428256.1	19991	20055	100	ENSTGUG00000018023	7	10362280	10362344	98	7	23901124	23901188
ENSGALG00000025446											5	3878870	3878962
ENSGALG00000025242											10	6651001	6651074
ENSGALG00000025411											4	91880090	91880180
ENSGALG00000025155											Z	1435311	1435401
ENSGALG00000025162											25	176232	176313
ENSGALG00000025241											8	3838453	3838555
ENSGALG00000025481											7	17384289	17384387
ENSGALG00000021779											2	21671961	21672029
