locus	turk/chick	turk/finch
ENSMGAG00000000004	0.0	0.0
ENSMGAG00000000005	0.0	0.014
ENSMGAG00000000006	0.0	0.04
ENSMGAG00000000014	0.0	0.072
ENSMGAG00000000015	0.0	0.0
ENSMGAG00000000016	0.0	0.0
ENSMGAG00000000019	0.0	0.0
ENSMGAG00000000020	0.0	0.071
ENSMGAG00000000021	0.0	0.079
ENSMGAG00000000025	0.0	0.0
ENSMGAG00000000026	0.0	0.063
ENSMGAG00000000029	0.0	0.011
ENSMGAG00000000033	0.0	0.0
ENSMGAG00000000034	0.0	0.035
ENSMGAG00000000037	0.0	0.017
ENSMGAG00000000038	0.0	0.0
ENSMGAG00000000039	0.0	0.083
ENSMGAG00000000046	0.0	0.013
ENSMGAG00000000047	0.0	0.061
ENSMGAG00000000048	0.0	0.0
ENSMGAG00000000051	0.0	0.087
ENSMGAG00000000052	0.0	0.0
ENSMGAG00000000055	0.0	0.0
ENSMGAG00000000057	0.0	0.0
ENSMGAG00000000058	0.0	0.024
ENSMGAG00000000060	0.0	0.012
ENSMGAG00000000061	0.0	0.023
ENSMGAG00000000062	0.0	0.0
ENSMGAG00000000064	0.0	0.047
ENSMGAG00000000070	0.0	0.011
ENSMGAG00000000072	0.0	0.05
ENSMGAG00000000074	0.0	0.038
ENSMGAG00000000079	0.0	0.02
ENSMGAG00000000082	0.0	0.042
ENSMGAG00000000083	0.0	0.0
ENSMGAG00000000085	0.0	0.0
ENSMGAG00000000087	0.0	0.033
ENSMGAG00000000088	0.0	0.074
ENSMGAG00000000089	0.0	0.0
ENSMGAG00000000090	0.0	0.0
ENSMGAG00000000092	0.0	0.0
ENSMGAG00000000093	0.0	0.011
ENSMGAG00000000096	0.0	0.0
ENSMGAG00000000098	0.0	0.014
ENSMGAG00000000099	0.0	0.0
ENSMGAG00000000101	0.0	0.039
ENSMGAG00000000104	0.0	0.079
ENSMGAG00000000106	0.0	0.0
ENSMGAG00000000107	0.0	0.0
ENSMGAG00000000110	0.0	0.089
ENSMGAG00000000111	0.0	0.063
ENSMGAG00000000117	0.0	0.0
ENSMGAG00000000120	0.0	0.012
ENSMGAG00000000124	0.0	0.0
ENSMGAG00000000129	0.0	0.112
ENSMGAG00000000130	0.0	0.049
ENSMGAG00000000132	0.0	0.055
ENSMGAG00000000133	0.0	0.0
ENSMGAG00000000134	0.0	0.014
ENSMGAG00000000139	0.0	0.099
ENSMGAG00000000141	0.0	0.0
ENSMGAG00000000142	0.0	0.073
ENSMGAG00000000143	0.0	0.02
ENSMGAG00000000145	0.0	0.05
ENSMGAG00000000146	0.0	0.012
ENSMGAG00000000147	0.0	0.0
ENSMGAG00000000148	0.0	0.029
ENSMGAG00000000149	0.0	0.0
ENSMGAG00000000151	0.0	0.034
ENSMGAG00000000153	0.0	0.0
ENSMGAG00000000154	0.0	0.012
ENSMGAG00000000156	0.0	0.0
ENSMGAG00000000159	0.0	0.024
ENSMGAG00000000160	0.0	0.007
ENSMGAG00000000161	0.0	0.031
ENSMGAG00000000162	0.0	0.07
ENSMGAG00000000163	0.0	0.039
ENSMGAG00000000166	0.0	0.013
ENSMGAG00000000168	0.0	0.027
ENSMGAG00000000169	0.0	0.0
ENSMGAG00000000170	0.0	0.02
ENSMGAG00000000171	0.0	0.0
ENSMGAG00000000174	0.0	0.0
ENSMGAG00000000180	0.0	0.045
ENSMGAG00000000183	0.0	0.0
ENSMGAG00000000187	0.0	0.0
ENSMGAG00000000189	0.0	0.0
ENSMGAG00000000190	0.0	0.0
ENSMGAG00000000191	0.0	0.0
ENSMGAG00000000195	0.0	0.0
ENSMGAG00000000196	0.0	0.076
ENSMGAG00000000200	0.0	0.06
ENSMGAG00000000202	0.0	0.0
ENSMGAG00000000204	0.0	0.045
ENSMGAG00000000208	0.0	0.027
ENSMGAG00000000213	0.0	0.0
ENSMGAG00000000217	0.0	0.067
ENSMGAG00000000218	0.0	0.0
ENSMGAG00000000219	0.0	0.0
ENSMGAG00000000225	0.0	0.0
ENSMGAG00000000226	0.0	0.0
ENSMGAG00000000227	0.0	0.024
ENSMGAG00000000229	0.0	0.011
ENSMGAG00000000231	0.0	0.071
ENSMGAG00000000233	0.0	0.0
ENSMGAG00000000235	0.0	0.011
ENSMGAG00000000236	0.0	0.065
ENSMGAG00000000237	0.0	0.014
ENSMGAG00000000238	0.0	0.0
ENSMGAG00000000242	0.0	0.086
ENSMGAG00000000245	0.0	0.0
ENSMGAG00000000250	0.0	0.019
ENSMGAG00000000251	0.0	0.087
ENSMGAG00000000254	0.0	0.086
ENSMGAG00000000258	0.0	0.0
ENSMGAG00000000260	0.0	0.011
ENSMGAG00000000261	0.0	0.0
ENSMGAG00000000262	0.0	0.028
ENSMGAG00000000264	0.0	0.0
ENSMGAG00000000267	0.0	0.014
ENSMGAG00000000268	0.0	0.0
ENSMGAG00000000269	0.0	0.083
ENSMGAG00000000279	0.0	0.05
ENSMGAG00000000281	0.0	0.066
ENSMGAG00000000283	0.0	0.015
ENSMGAG00000000284	0.0	0.011
ENSMGAG00000000288	0.0	0.0
ENSMGAG00000000289	0.0	0.0
ENSMGAG00000000296	0.0	0.109
ENSMGAG00000000301	0.0	0.0
ENSMGAG00000000303	0.0	0.0
ENSMGAG00000000304	0.0	0.011
ENSMGAG00000000305	0.0	0.036
ENSMGAG00000000307	0.0	0.01
ENSMGAG00000000310	0.0	0.0
ENSMGAG00000000311	0.0	0.0
ENSMGAG00000000312	0.0	0.01
ENSMGAG00000000316	0.0	0.071
ENSMGAG00000000318	0.0	0.112
ENSMGAG00000000330	0.0	0.089
ENSMGAG00000000332	0.0	0.0
ENSMGAG00000000333	0.0	0.0
ENSMGAG00000000334	0.0	0.081
ENSMGAG00000000336	0.0	0.096
ENSMGAG00000000337	0.0	0.0
ENSMGAG00000000344	0.0	0.09
ENSMGAG00000000345	0.0	0.087
ENSMGAG00000000346	0.0	0.0
ENSMGAG00000000350	0.0	0.0
ENSMGAG00000000351	0.0	0.021
ENSMGAG00000000352	0.0	0.0
ENSMGAG00000000354	0.0	0.0
ENSMGAG00000000356	0.0	0.0
ENSMGAG00000000358	0.0	0.014
ENSMGAG00000000362	0.0	0.0
ENSMGAG00000000364	0.0	0.089
ENSMGAG00000000365	0.0	0.012
ENSMGAG00000000370	0.0	0.0
ENSMGAG00000000371	0.0	0.0
ENSMGAG00000000373	0.0	0.0
ENSMGAG00000000374	0.0	0.0
ENSMGAG00000000380	0.0	0.015
ENSMGAG00000000381	0.0	0.01
ENSMGAG00000000383	0.0	0.0
ENSMGAG00000000384	0.0	0.075
ENSMGAG00000000387	0.0	0.011
ENSMGAG00000000388	0.0	0.0
ENSMGAG00000000397	0.0	0.026
ENSMGAG00000000405	0.0	0.011
ENSMGAG00000000406	0.0	0.0
ENSMGAG00000000408	0.0	0.081
ENSMGAG00000000409	0.0	0.095
ENSMGAG00000000410	0.0	0.0
ENSMGAG00000000413	0.0	0.0
ENSMGAG00000000414	0.0	0.0
ENSMGAG00000000418	0.0	0.0
ENSMGAG00000000421	0.0	0.057
ENSMGAG00000000422	0.0	0.0
ENSMGAG00000000423	0.0	0.045
ENSMGAG00000000425	0.0	0.038
ENSMGAG00000000432	0.0	0.02
ENSMGAG00000000433	0.0	0.0
ENSMGAG00000000437	0.0	0.0
ENSMGAG00000000438	0.0	0.01
ENSMGAG00000000439	0.0	0.012
ENSMGAG00000000443	0.0	0.127
ENSMGAG00000000451	0.0	0.061
ENSMGAG00000000452	0.0	0.077
ENSMGAG00000000453	0.0	0.027
ENSMGAG00000000456	0.0	0.025
ENSMGAG00000000469	0.0	0.0
ENSMGAG00000000470	0.0	0.114
ENSMGAG00000000471	0.0	0.089
ENSMGAG00000000474	0.0	0.031
ENSMGAG00000000475	0.0	0.0
ENSMGAG00000000476	0.0	0.046
ENSMGAG00000000477	0.0	0.0
ENSMGAG00000000479	0.0	0.0
ENSMGAG00000000482	0.0	0.021
ENSMGAG00000000484	0.0	0.044
ENSMGAG00000000485	0.0	0.031
ENSMGAG00000000490	0.0	0.066
ENSMGAG00000000492	0.0	0.0
ENSMGAG00000000495	0.0	0.0
