Ensembl Gene ID	Turkey Ensembl Gene ID	Turkey Chromosome Name	Turkey Chromosome Start (bp)	Turkey Chromosome End (bp)	% Identity with respect to query gene	Homology Type	Zebra Finch Ensembl Gene ID	Zebra Finch Chromosome Name	Zebra Finch Chromosome Start (bp)	Zebra Finch Chromosome End (bp)	% Identity with respect to query gene	Homology Type
ENSGALG00000018314	ENSMGAG00000000571	30	4278294	4278388	96	ortholog_one2one	ENSTGUG00000017818	28	3838849	3838933	81	ortholog_one2one
ENSGALG00000018323	ENSMGAG00000000433	9	215982	216081	100	ortholog_one2one	ENSTGUG00000017683	4A	6644921	6645018	92	ortholog_one2one
ENSGALG00000018346	ENSMGAG00000000307	Z	64138423	64138529	64	ortholog_one2one	ENSTGUG00000018024	Z	12103934	12104020	100	ortholog_one2one
ENSGALG00000018320	ENSMGAG00000000346	2	86385415	86385486	100	ortholog_one2one	ENSTGUG00000017941	3	84746539	84746657	97	ortholog_one2one
ENSGALG00000018353	ENSMGAG00000000303	Z	44244057	44244141	99	ortholog_one2one	ENSTGUG00000017997	Z	9900641	9900726	95	ortholog_one2one
ENSGALG00000021783	ENSMGAG00000000413	GL428256.1	19991	20055	100	ortholog_one2one	ENSTGUG00000018023	7	10362280	10362344	98	ortholog_one2one
ENSGALG00000021776	ENSMGAG00000000380	4	39202965	39203033	99	ortholog_one2one	ENSTGUG00000017660	4	2681404	2681471	94	ortholog_one2one
ENSGALG00000018251	ENSMGAG00000000092	1	154014552	154014632	100	ortholog_one2one	ENSTGUG00000017655	1	43202772	43202876	93	ortholog_one2one
ENSGALG00000021920	ENSMGAG00000000599	15	7834385	7834500	97	ortholog_one2many	ENSTGUG00000017998	13	1397244	1397356	76	ortholog_one2many
ENSGALG00000018284	ENSMGAG00000000524	6	46491025	46491117	98	ortholog_one2one	ENSTGUG00000017570	2	28894388	28894470	96	ortholog_one2one
ENSGALG00000018285	ENSMGAG00000000475	3	32760174	32760259	100	ortholog_one2one	ENSTGUG00000017907	2_random	838715	838800	99	ortholog_one2one
ENSGALG00000021798	ENSMGAG00000000093	6	3156906	3156995	99	ortholog_one2one						
ENSGALG00000025221	ENSMGAG00000000384	Z	17944307	17944400	90	ortholog_one2one						
ENSGALG00000018302	ENSMGAG00000000568	GL424107.1	17826	17914	100	ortholog_one2one	ENSTGUG00000017586	23_random	194981	195068	98	ortholog_one2one
ENSGALG00000018343	ENSMGAG00000000600	Z	739371	739447	100	ortholog_one2one	ENSTGUG00000017648	Z_random	328157	328234	90	ortholog_one2many
ENSGALG00000025507	ENSMGAG00000000549	15	12893243	12893322	54	apparent_ortholog_one2one						
ENSGALG00000018318	ENSMGAG00000000479	2	18652881	18652985	100	ortholog_one2one	ENSTGUG00000017638	3	9653890	9653992	85	ortholog_one2one
