locus	turk/chick	turk/finch
ENSMGAG00000000004	0.0	0.041
ENSMGAG00000000016	0.0	0.0
ENSMGAG00000000019	0.0	0.012
ENSMGAG00000000025	0.0	0.0
ENSMGAG00000000033	0.0	0.034
ENSMGAG00000000037	0.017	0.053
ENSMGAG00000000038	0.0	0.0
ENSMGAG00000000046	0.013	0.013
ENSMGAG00000000048	0.0	0.0
ENSMGAG00000000052	0.0	0.0
ENSMGAG00000000055	0.0	0.0
ENSMGAG00000000057	0.0	0.089
ENSMGAG00000000060	0.012	0.097
ENSMGAG00000000061	0.023	0.059
ENSMGAG00000000062	0.0	0.029
ENSMGAG00000000070	0.011	0.033
ENSMGAG00000000079	0.02	0.021
ENSMGAG00000000083	0.0	0.014
ENSMGAG00000000089	0.0	0.0
ENSMGAG00000000090	0.0	0.0
ENSMGAG00000000092	0.0	0.081
ENSMGAG00000000093	0.011	0.047
ENSMGAG00000000096	0.0	0.0
ENSMGAG00000000098	0.014	0.058
ENSMGAG00000000106	0.0	0.014
ENSMGAG00000000107	0.0	0.0
ENSMGAG00000000117	0.0	0.043
ENSMGAG00000000124	0.0	0.025
ENSMGAG00000000133	0.0	0.012
ENSMGAG00000000134	0.014	0.044
ENSMGAG00000000147	0.0	0.0
ENSMGAG00000000149	0.0	0.0
ENSMGAG00000000153	0.0	0.054
ENSMGAG00000000154	0.012	0.024
ENSMGAG00000000156	0.0	0.0
ENSMGAG00000000159	0.024	0.079
ENSMGAG00000000160	0.007	0.062
ENSMGAG00000000163	0.039	0.097
ENSMGAG00000000169	0.0	0.062
ENSMGAG00000000170	0.02	0.065
ENSMGAG00000000171	0.0	0.0
ENSMGAG00000000174	0.0	0.0
ENSMGAG00000000183	0.0	0.049
ENSMGAG00000000189	0.0	0.202
ENSMGAG00000000190	0.0	0.028
ENSMGAG00000000191	0.0	0.055
ENSMGAG00000000195	0.0	0.015
ENSMGAG00000000202	0.0	0.025
ENSMGAG00000000213	0.0	0.027
ENSMGAG00000000218	0.0	0.0
ENSMGAG00000000219	0.0	0.0
ENSMGAG00000000226	0.0	0.073
ENSMGAG00000000227	0.024	0.049
ENSMGAG00000000233	0.0	0.0
ENSMGAG00000000235	0.011	0.011
ENSMGAG00000000237	0.014	0.0
ENSMGAG00000000238	0.0	0.023
ENSMGAG00000000245	0.0	0.008
ENSMGAG00000000250	0.019	0.01
ENSMGAG00000000254	0.086	0.111
ENSMGAG00000000258	0.0	0.033
ENSMGAG00000000260	0.011	0.022
ENSMGAG00000000261	0.0	0.012
ENSMGAG00000000268	0.0	0.011
ENSMGAG00000000284	0.011	0.095
ENSMGAG00000000288	0.0	0.0
ENSMGAG00000000289	0.0	0.024
ENSMGAG00000000301	0.0	0.0
ENSMGAG00000000303	0.0	0.049
ENSMGAG00000000304	0.011	0.022
ENSMGAG00000000307	0.01	0.01
ENSMGAG00000000310	0.0	0.032
ENSMGAG00000000311	0.0	0.0
ENSMGAG00000000312	0.01	0.01
ENSMGAG00000000330	0.089	0.113
ENSMGAG00000000333	0.0	0.0
ENSMGAG00000000346	0.0	0.015
ENSMGAG00000000351	0.021	0.023
ENSMGAG00000000352	0.0	0.0
ENSMGAG00000000356	0.0	0.059
ENSMGAG00000000358	0.014	0.0
ENSMGAG00000000362	0.0	0.0
ENSMGAG00000000370	0.0	0.024
ENSMGAG00000000371	0.0	0.0
ENSMGAG00000000373	0.0	0.07
ENSMGAG00000000374	0.0	0.084
ENSMGAG00000000380	0.015	0.061
ENSMGAG00000000383	0.0	0.0
ENSMGAG00000000387	0.011	0.023
ENSMGAG00000000388	0.0	0.0
ENSMGAG00000000405	0.011	0.047
ENSMGAG00000000406	0.0	0.011
ENSMGAG00000000408	0.081	0.009
ENSMGAG00000000410	0.0	0.0
ENSMGAG00000000413	0.0	0.016
ENSMGAG00000000414	0.0	0.0
ENSMGAG00000000422	0.0	0.0
ENSMGAG00000000423	0.045	0.159
ENSMGAG00000000432	0.02	0.051
ENSMGAG00000000433	0.0	0.054
ENSMGAG00000000439	0.012	0.024
ENSMGAG00000000456	0.025	0.139
ENSMGAG00000000469	0.0	0.024
ENSMGAG00000000475	0.0	0.0
ENSMGAG00000000479	0.0	0.09
ENSMGAG00000000482	0.021	0.032
ENSMGAG00000000484	0.044	0.103
ENSMGAG00000000492	0.0	0.019
ENSMGAG00000000495	0.0	0.032
ENSMGAG00000000496	0.0	0.0
ENSMGAG00000000499	0.0	0.063
ENSMGAG00000000502	0.038	0.038
ENSMGAG00000000509	0.0	0.06
ENSMGAG00000000513	0.04	0.043
ENSMGAG00000000514	0.0	0.01
ENSMGAG00000000521	0.0	0.026
ENSMGAG00000000524	0.022	0.023
ENSMGAG00000000525	0.0	0.0
ENSMGAG00000000527	0.0	0.011
ENSMGAG00000000536	0.0	0.061
ENSMGAG00000000538	0.006	0.036
ENSMGAG00000000542	0.0	0.0
ENSMGAG00000000547	0.0	0.0
ENSMGAG00000000553	0.0	0.011
ENSMGAG00000000557	0.022	0.131
ENSMGAG00000000558	0.068	0.135
ENSMGAG00000000559	0.0	0.029
ENSMGAG00000000567	0.012	0.121
ENSMGAG00000000568	0.0	0.012
ENSMGAG00000000572	0.032	0.033
ENSMGAG00000000573	0.0	0.0
ENSMGAG00000000576	0.032	0.14
ENSMGAG00000000577	0.013	0.057
ENSMGAG00000000578	0.015	0.149
ENSMGAG00000000580	0.01	0.06
ENSMGAG00000000592	0.0	0.011
ENSMGAG00000000597	0.048	0.078
ENSMGAG00000000598	0.012	0.013
ENSMGAG00000000602	0.0	0.023
ENSMGAG00000000605	0.013	0.11
ENSMGAG00000000607	0.0	0.034
ENSMGAG00000000610	0.0	0.096
ENSMGAG00000000613	0.0	0.0
ENSMGAG00000000618	0.0	0.039
ENSMGAG00000016488	0.0	0.011
ENSMGAG00000016490	0.0	0.018
ENSMGAG00000016625	0.024	0.024
ENSMGAG00000016706	0.026	0.04
ENSMGAG00000016817	0.024	0.116
ENSMGAG00000016924	0.015	0.016
ENSMGAG00000017276	0.0	0.0
ENSMGAG00000017311	0.0	0.049
ENSMGAG00000017333	0.034	0.056
ENSMGAG00000017351	0.014	0.062
ENSMGAG00000017395	0.0	0.027
