Chromosome Name	Gene Start (bp)	Gene End (bp)	Strand	Ensembl Gene ID
8	14334925	14335001	-1	ENSMGAG00000016938
19	5112587	5112744	-1	ENSMGAG00000000305
1	73738599	73738676	1	ENSMGAG00000017033
26	4412780	4412888	1	ENSMGAG00000000425
7	290589	290657	1	ENSMGAG00000000379
11	4734808	4734900	1	ENSMGAG00000000447
19	6092906	6092984	1	ENSMGAG00000000020
1	145694998	145695090	1	ENSMGAG00000000541
17	169551	169636	1	ENSMGAG00000016588
1	3566312	3566400	1	ENSMGAG00000000268
1	20992269	20992367	-1	ENSMGAG00000000295
2	36282720	36282822	1	ENSMGAG00000000513
14	6257885	6257987	-1	ENSMGAG00000000079
8	18490529	18490603	-1	ENSMGAG00000000344
9	3514574	3514658	-1	ENSMGAG00000000154
6	3311486	3311557	-1	ENSMGAG00000000619
10	24933666	24933748	-1	ENSMGAG00000000531
10	6306457	6306573	-1	ENSMGAG00000000408
1	9403156	9403245	-1	ENSMGAG00000000034
15	7834385	7834500	-1	ENSMGAG00000000599
2	31920594	31920707	-1	ENSMGAG00000000150
1	70956378	70956469	1	ENSMGAG00000000219
9	2148896	2148985	1	ENSMGAG00000000015
11	22311711	22311799	1	ENSMGAG00000000222
16	5222515	5222585	-1	ENSMGAG00000000102
GL425467.1	2444	2534	1	ENSMGAG00000000299
9	3514770	3514853	-1	ENSMGAG00000000598
13	11938722	11938800	1	ENSMGAG00000016446
17	4874574	4874661	1	ENSMGAG00000000443
26	3538534	3538605	1	ENSMGAG00000000410
4	33849017	33849081	1	ENSMGAG00000016775
1	126379394	126379498	-1	ENSMGAG00000000348
10	17242459	17242533	-1	ENSMGAG00000000458
25	1933302	1933394	1	ENSMGAG00000000504
1	140771282	140771364	1	ENSMGAG00000000567
6	3156906	3156995	1	ENSMGAG00000000093
13	809124	809209	1	ENSMGAG00000000548
Z	17944160	17944245	-1	ENSMGAG00000000500
12	4826804	4826869	1	ENSMGAG00000017117
7	14808754	14808910	-1	ENSMGAG00000000334
6	25097786	25097875	1	ENSMGAG00000000236
2	2206695	2206801	1	ENSMGAG00000000250
1	154014552	154014632	-1	ENSMGAG00000000092
12	20660412	20660501	-1	ENSMGAG00000000530
1	3565301	3565399	1	ENSMGAG00000000312
2	14399081	14399167	-1	ENSMGAG00000000597
2	77202135	77202207	1	ENSMGAG00000000190
12	5217409	5217480	1	ENSMGAG00000000055
4	59626899	59626990	1	ENSMGAG00000000471
3	97020506	97020602	1	ENSMGAG00000000229
22	2207895	2207984	1	ENSMGAG00000000033
5	56352438	56352528	1	ENSMGAG00000000211
1	104277125	104277214	1	ENSMGAG00000000261
1	140743108	140743173	1	ENSMGAG00000000161
7	2108233	2108334	-1	ENSMGAG00000000172
1	116538309	116538382	1	ENSMGAG00000000105
1	59391169	59391284	1	ENSMGAG00000016794
11	2585026	2585082	-1	ENSMGAG00000000350
5	47948033	47948108	1	ENSMGAG00000016667
11	6582177	6582271	1	ENSMGAG00000016497
1	178110761	178110844	-1	ENSMGAG00000000370
5	5542749	5542839	1	ENSMGAG00000000626
6	7083300	7083376	-1	ENSMGAG00000000084
Z	44243294	44243427	-1	ENSMGAG00000000050
14	9623181	9623244	1	ENSMGAG00000016857
6	46491025	46491117	1	ENSMGAG00000000524
13	3493539	3493593	1	ENSMGAG00000016977
30	2005228	2005309	-1	ENSMGAG00000000502
8	16393058	16393133	-1	ENSMGAG00000000085
30	2839941	2840036	1	ENSMGAG00000000067
6	41063768	41063864	-1	ENSMGAG00000000484
14	12210748	12210836	1	ENSMGAG00000000340
1	70955535	70955610	1	ENSMGAG00000000106
10	29450984	29451059	-1	ENSMGAG00000000149
5	3248936	3249005	-1	ENSMGAG00000016789
19	3182564	3182641	-1	ENSMGAG00000000577
1	154014368	154014465	-1	ENSMGAG00000000422
1	737706	737822	1	ENSMGAG00000000608
1	116538820	116538892	1	ENSMGAG00000000542
7	32359204	32359285	1	ENSMGAG00000000202
10	8182189	8182289	-1	ENSMGAG00000016943
Z	74867992	74868080	-1	ENSMGAG00000000060
1	104245244	104245337	1	ENSMGAG00000000288
4	31607892	31607988	-1	ENSMGAG00000000614
6	33566772	33566856	-1	ENSMGAG00000016487
14	6259110	6259196	-1	ENSMGAG00000000525
28	3068403	3068498	1	ENSMGAG00000000351
2	55749281	55749358	1	ENSMGAG00000000510
9	10318787	10318871	1	ENSMGAG00000000002
2	2204042	2204146	1	ENSMGAG00000000580
GL424158.1	25066	25175	-1	ENSMGAG00000017185
6	118139	118235	1	ENSMGAG00000000581
10	28443057	28443152	1	ENSMGAG00000017105
5	47258255	47258330	1	ENSMGAG00000000417
3	24445331	24445422	1	ENSMGAG00000000058
4	72815469	72815597	-1	ENSMGAG00000000310
17	788388	788489	1	ENSMGAG00000000432
14	12357554	12357637	-1	ENSMGAG00000016602
GL428202.1	2297	2385	1	ENSMGAG00000000394
2	79379320	79379429	1	ENSMGAG00000000074
8	5932644	5932699	1	ENSMGAG00000000426
11	14230794	14230897	-1	ENSMGAG00000000523
22	8206689	8206759	1	ENSMGAG00000000083
2	22123138	22123219	1	ENSMGAG00000000520
Z	920525	920587	1	ENSMGAG00000000450
Z	739371	739447	1	ENSMGAG00000000600
15	4055052	4055146	1	ENSMGAG00000000406
30	1759416	1759522	1	ENSMGAG00000000101
GL426112.1	3613	3708	1	ENSMGAG00000000589
20	5742421	5742504	-1	ENSMGAG00000000506
4	19832699	19832762	1	ENSMGAG00000000130
6	108221	108347	-1	ENSMGAG00000000240
19	9537117	9537201	1	ENSMGAG00000000227
26	5617975	5618060	-1	ENSMGAG00000000006
3	35049614	35049716	-1	ENSMGAG00000016535
2	34368682	34368782	1	ENSMGAG00000000242
3	32766645	32766723	-1	ENSMGAG00000016706
3	92099930	92100000	-1	ENSMGAG00000016924
9	10881384	10881460	-1	ENSMGAG00000016358
1	34752634	34752718	1	ENSMGAG00000000301
9	10723155	10723248	-1	ENSMGAG00000000423
GL424601.1	1455	1547	1	ENSMGAG00000000238
17	2305069	2305171	1	ENSMGAG00000000418
4	39202121	39202192	1	ENSMGAG00000000057
25	4200814	4200877	1	ENSMGAG00000000141
4	44553082	44553161	-1	ENSMGAG00000017411
1	112118877	112118975	-1	ENSMGAG00000000355
1	47106853	47106961	1	ENSMGAG00000000383
10	9193900	9193988	-1	ENSMGAG00000000592
GL428282.1	753	857	-1	ENSMGAG00000017194
4	17111821	17111910	1	ENSMGAG00000017403
28	2247979	2248079	-1	ENSMGAG00000000142
1	94949987	94950084	-1	ENSMGAG00000000233
9	3514268	3514385	-1	ENSMGAG00000000460
19	8015533	8015616	-1	ENSMGAG00000000019
Z	1447297	1447387	-1	ENSMGAG00000000039
Z	47452822	47452930	-1	ENSMGAG00000016646
2	82823858	82823930	-1	ENSMGAG00000000129
16	737381	737463	1	ENSMGAG00000000107
8	25386761	25386865	1	ENSMGAG00000000170
GL429023.1	1292	1382	-1	ENSMGAG00000010199
14	9882114	9882202	-1	ENSMGAG00000000395
12	655310	655380	-1	ENSMGAG00000000296
17	5993688	5993793	1	ENSMGAG00000000411
10	3131899	3132000	-1	ENSMGAG00000000143
23	2667706	2667790	-1	ENSMGAG00000000166
26	3550446	3550517	1	ENSMGAG00000000302
1	142580672	142580767	1	ENSMGAG00000016730
22	12547578	12547677	-1	ENSMGAG00000016766
2	86385415	86385486	1	ENSMGAG00000000346
GL428258.1	8708	8789	1	ENSMGAG00000016539
1	104244508	104244578	1	ENSMGAG00000000358
21	6017420	6017489	-1	ENSMGAG00000000281
20	8176843	8176942	1	ENSMGAG00000016568
1	1405068	1405165	-1	ENSMGAG00000000029
22	788189	788264	-1	ENSMGAG00000000560
1	9282649	9282738	-1	ENSMGAG00000000265
1	203282724	203282817	1	ENSMGAG00000000087
14	9146020	9146110	1	ENSMGAG00000000078
